Season,TEAM_ID,TEAM_NAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
2013-14,1610612753,Orlando Magic,1203,2062,0.583,360,950,0.379,896,2176,0.412,106,295,0.359,58,163,0.356,398,1122,0.355,0,14,0
2013-14,1610612755,Philadelphia 76ers,1640,2888,0.568,390,1083,0.36,501,1332,0.376,70,220,0.318,51,147,0.347,453,1465,0.309,3,13,0.231
2013-14,1610612756,Phoenix Suns,1370,2188,0.626,358,931,0.385,679,1671,0.406,122,272,0.449,108,298,0.362,534,1467,0.364,0,16,0
2013-14,1610612757,Portland Trail Blazers,1222,2021,0.605,323,873,0.37,892,2167,0.412,133,304,0.438,75,238,0.315,562,1521,0.369,0,10,0
2013-14,1610612758,Sacramento Kings,1297,2089,0.621,506,1323,0.382,732,1879,0.39,64,169,0.379,50,139,0.36,376,1159,0.324,1,8,0.125
2013-14,1610612759,San Antonio Spurs,1433,2213,0.648,450,1027,0.438,745,1847,0.403,123,291,0.423,96,244,0.393,479,1210,0.396,0,11,0
2013-14,1610612761,Toronto Raptors,1124,1851,0.607,469,1136,0.413,686,1814,0.378,124,305,0.407,85,223,0.381,502,1375,0.365,2,12,0.167
2013-14,1610612762,Utah Jazz,1305,2106,0.62,398,1064,0.374,705,1905,0.37,72,208,0.346,80,188,0.426,391,1158,0.338,0,21,0
2013-14,1610612764,Washington Wizards,1355,2107,0.643,337,909,0.371,838,2199,0.381,110,269,0.409,105,264,0.398,431,1156,0.373,1,14,0.071
2012-13,1610612737,Atlanta Hawks,1346,2057,0.654,343,921,0.372,689,1765,0.39,115,270,0.426,104,251,0.414,487,1368,0.356,0,12,0
2012-13,1610612738,Boston Celtics,1215,2035,0.597,326,839,0.389,961,2194,0.438,90,243,0.37,105,239,0.439,304,886,0.343,0,22,0
2012-13,1610612751,Brooklyn Nets,1208,2053,0.588,490,1177,0.416,616,1554,0.396,142,354,0.401,108,275,0.393,378,1116,0.339,0,12,0
2012-13,1610612766,Charlotte Bobcats,1278,2312,0.553,305,910,0.335,771,2028,0.38,57,143,0.399,60,151,0.397,352,1090,0.323,0,15,0
2012-13,1610612741,Chicago Bulls,1338,2257,0.593,295,871,0.339,847,2305,0.367,62,163,0.38,43,130,0.331,341,961,0.355,0,11,0
2012-13,1610612739,Cleveland Cavaliers,1238,2211,0.56,393,1083,0.363,815,2026,0.402,63,187,0.337,56,160,0.35,427,1222,0.349,1,12,0.083
2012-13,1610612742,Dallas Mavericks,1136,1866,0.609,525,1230,0.427,914,2167,0.422,73,224,0.326,68,162,0.42,466,1225,0.38,0,18,0
2012-13,1610612743,Denver Nuggets,2016,3194,0.631,364,1022,0.356,438,1249,0.351,109,283,0.385,78,250,0.312,334,962,0.347,0,21,0
2012-13,1610612765,Detroit Pistons,1565,2670,0.586,343,962,0.357,557,1565,0.356,82,216,0.38,64,187,0.342,368,1022,0.36,0,16,0
2012-13,1610612744,Golden State Warriors,1139,1880,0.606,433,1140,0.38,900,2188,0.411,83,193,0.43,91,187,0.487,483,1231,0.392,1,21,0.048
2012-13,1610612745,Houston Rockets,1617,2628,0.615,278,795,0.35,362,990,0.366,136,342,0.398,138,354,0.39,591,1661,0.356,2,11,0.182
2012-13,1610612754,Indiana Pacers,1189,2014,0.59,426,1106,0.385,675,1806,0.374,67,197,0.34,84,216,0.389,404,1162,0.348,0,23,0
2012-13,1610612746,Los Angeles Clippers,1444,2195,0.658,398,928,0.429,691,1733,0.399,111,306,0.363,120,295,0.407,396,1140,0.347,0,9,0
2012-13,1610612747,Los Angeles Lakers,1350,2159,0.625,373,973,0.383,603,1491,0.404,104,289,0.36,96,258,0.372,511,1443,0.354,0,19,0
2012-13,1610612763,Memphis Grizzlies,1277,2278,0.561,488,1242,0.393,817,2052,0.398,61,163,0.374,69,165,0.418,252,767,0.329,0,12,0
2012-13,1610612748,Miami Heat,1392,2042,0.682,309,760,0.407,730,1737,0.42,147,341,0.431,162,376,0.431,408,1084,0.376,0,6,0
2012-13,1610612749,Milwaukee Bucks,1432,2530,0.566,321,942,0.341,774,2054,0.377,69,204,0.338,86,207,0.415,446,1250,0.357,0,9,0
2012-13,1610612750,Minnesota Timberwolves,1421,2406,0.591,260,781,0.333,812,2038,0.398,75,205,0.366,48,141,0.34,327,1121,0.292,0,10,0
2012-13,1610612740,New Orleans Hornets,1312,2273,0.577,428,1118,0.383,680,1724,0.394,46,126,0.365,56,140,0.4,433,1192,0.363,0,16,0
2012-13,1610612752,New York Knicks,1212,2057,0.589,171,491,0.348,721,1768,0.408,122,328,0.372,96,248,0.387,672,1767,0.38,2,30,0.067
2012-13,1610612760,Oklahoma City Thunder,1358,2088,0.65,388,951,0.408,782,1876,0.417,102,256,0.398,75,151,0.497,419,1168,0.359,1,13,0.077
2012-13,1610612753,Orlando Magic,1323,2190,0.604,467,1085,0.43,797,2092,0.381,81,209,0.388,50,150,0.333,375,1172,0.32,0,6,0
2012-13,1610612755,Philadelphia 76ers,1210,2066,0.586,385,991,0.388,946,2400,0.394,91,257,0.354,79,191,0.414,348,978,0.356,0,11,0
2012-13,1610612756,Phoenix Suns,1328,2154,0.617,330,967,0.341,923,2341,0.394,68,184,0.37,82,224,0.366,330,1035,0.319,0,12,0
2012-13,1610612757,Portland Trail Blazers,1251,2092,0.598,282,730,0.386,803,1989,0.404,111,258,0.43,72,206,0.35,489,1425,0.343,0,13,0
2012-13,1610612758,Sacramento Kings,1419,2386,0.595,456,1148,0.397,601,1689,0.356,81,214,0.379,97,248,0.391,431,1204,0.358,1,15,0.067
2012-13,1610612759,San Antonio Spurs,1419,2237,0.634,410,978,0.419,718,1696,0.423,131,312,0.42,130,322,0.404,402,1117,0.36,0,12,0
2012-13,1610612761,Toronto Raptors,1170,1877,0.623,408,970,0.421,830,2172,0.382,68,169,0.402,58,187,0.31,444,1298,0.342,0,9,0
2012-13,1610612762,Utah Jazz,1322,2122,0.623,438,1107,0.396,779,2096,0.372,65,163,0.399,54,152,0.355,388,1054,0.368,0,16,0
2012-13,1610612764,Washington Wizards,1063,1806,0.589,438,1094,0.4,864,2298,0.376,114,257,0.444,118,251,0.47,313,978,0.32,0,8,0
2011-12,1610612737,Atlanta Hawks,1016,1646,0.617,299,720,0.415,622,1652,0.377,100,246,0.407,84,218,0.385,307,858,0.358,1,8,0.125
2011-12,1610612738,Boston Celtics,936,1554,0.602,218,591,0.369,824,1953,0.422,78,184,0.424,62,138,0.449,223,662,0.337,0,4,0
2011-12,1610612766,Charlotte Bobcats,948,1669,0.568,214,634,0.338,768,2098,0.366,27,74,0.365,22,71,0.31,214,735,0.291,0,12,0
